menu,Description,q
Ready for Guests Roasted Pears ,เมนูของหวาน เมนู Ready for Guests Roasted Pears มีวัตถุดิบ ลูกแพร์ อบเชย,อยากกินเมนูของหวานที่มีรสชาติของผลไม้ต้ม
Cranachan ,เมนูของหวาน เมนู Cranachan มีวัตถุดิบ ข้าวโอ๊ต วิสกี้ น้ำผึ้ง ราสป์เบอร์รี,อยากกินเมนูของหวานที่มีรสชาติของธัญพืชกับผลไม้
Black Sesame Lace Cookies ,เมนูของหวาน เมนู Black Sesame Lace Cookies มีวัตถุดิบ ส้ม,เมนูของหวาน อยากกินขนมหวานที่รสชาติหวานอมเปรี้ยวหน่อย
Chocolate Truffles ,เมนูของหวาน เมนู Chocolate Truffles มีวัตถุดิบ ช็อกโกแลต โกโก้ เฮเซลนัท,เมนูของหวาน อยากกินช็อกโกแลตที่นุ่มละมุนลิ้น
Pineapple Truffles ,เมนูของหวาน เมนู Pineapple Truffles มีวัตถุดิบ มะพร้าว สับปะรด,เมนูของหวาน อยากกินขนมที่มีมะพร้าวและสับปะรด
Dark Chocolate and Cardamom Ice Cream ,เมนูของหวาน เมนู Dark Chocolate and Cardamom Ice Cream มีวัตถุดิบ ช็อกโกแลต วานิลลา กระวาน,เมนูของหวาน อยากกินไอศกรีมที่มีรสชาติของช็อกโกแลต กระวาน และวานิลลา
Mixed-Berry Oatmeal Crisps ,เมนูของหวาน เมนู Mixed-Berry Oatmeal Crisps มีวัตถุดิบ ข้าวโอ๊ต พีแคน อบเชย วานิลลา,ฉันอยากทานของหวานที่มีรสชาติหวานอมเปรี้ยวพร้อมผลเบอร์รี่
Peanut Butter and Jelly Bars ,เมนูของหวาน เมนู Peanut Butter and Jelly Bars มีวัตถุดิบ ถั่วลิสง วานิลลา องุ่น,ฉันอยากทานของหวานที่มีถั่วและขนมปังกรุบกรอบ
"Roasted Pears with Blackberries, Ricotta, and Lavender Sugar ","เมนูของหวาน เมนู Roasted Pears with Blackberries, Ricotta, and Lavender Sugar มีวัตถุดิบ ลาเวนเดอร์ ลูกแพร์ มะนาว แบล็กเบอร์รี่ วานิลลา",ฉันอยากได้ของหวานที่หวานและมีกลิ่นหอมเหมือนดอกไม้
Chocolate Puddings with Orange Whipped Cream ,เมนูของหวาน เมนู Chocolate Puddings with Orange Whipped Cream มีวัตถุดิบ ช็อกโกแลต วานิลลา ส้ม,ฉันอยากกินของหวานที่มีช็อกโกแลตและรสชาติที่สดชื่น
Espresso Pound Cake with Cranberries and Pecans ,เมนูของหวาน เมนู Espresso Pound Cake with Cranberries and Pecans มีวัตถุดิบ กระวาน วานิลลา กาแฟ อัลมอนด์ บลูเบอร์รี่,ฉันอยากทานเค้กที่มีกาแฟและลูกเกด
Banana-Fudge Sundaes ,เมนูของหวาน เมนู Banana-Fudge Sundaes มีวัตถุดิบ กล้วย มะนาว ช็อกโกแลต,ฉันอยากทานไอศกรีมที่มีกล้วยและช็อกโกแลต
Bakewell Tart ,เมนูของหวาน เมนู Bakewell Tart มีวัตถุดิบ สตรอว์เบอร์รี่,ฉันอยากทานของหวานที่มีผลไม้ตระกูลเบอร์รี่และครีม
Crisp Cocoa-Pecan Cookies ,เมนูของหวาน เมนู Crisp Cocoa-Pecan Cookies มีวัตถุดิบ โกโก้ วานิลลา วอลนัท ช็อกโกแลต,ฉันอยากทานคุกกี้ที่มีโกโก้และถั่ว
Honey-Rosemary Ice Cream ,เมนูของหวาน เมนู Honey-Rosemary Ice Cream มีวัตถุดิบ น้ำผึ้ง โรสแมรี่,อยากกินของหวานที่มีรสชาติหวานหอมของน้ำผึ้งและสมุนไพร
Cocoa Layer Cake ,เมนูของหวาน เมนู Cocoa Layer Cake มีวัตถุดิบ โกโก้ วานิลลา,แนะนำเค้กแบบเลเยอร์ที่เน้นรสชาติโกโก้หน่อย
Fresh Pineapple Trifles with Orange-Coconut Cream ,เมนูของหวาน เมนู Fresh Pineapple Trifles with Orange-Coconut Cream มีวัตถุดิบ ส้ม มะพร้าว บรั่นดี สตรอเบอร์รี่ สับปะรด,มีของหวานแบบที่เป็นเลเยอร์ของรสชาติผลไม้หวานอมเปรี้ยวและครีมมะพร้าวมั้ย
Zeppole ,เมนูของหวาน เมนู Zeppole มีวัตถุดิบ อบเชย,มีของหวานอะไรที่ปรุงด้วยกลิ่นหอมจากอบเชย
Orange Blossom Cream ,เมนูของหวาน เมนู Orange Blossom Cream มีวัตถุดิบ ส้ม,อยากกินของหวานที่เน้นรสชาติของส้ม
French Macarons with Raspberry-Rose Buttercream ,เมนูของหวาน เมนู French Macarons with Raspberry-Rose Buttercream มีวัตถุดิบ เฮเซลนัท ราสเบอร์รี กุหลาบ,อยากกินของหวานที่มีรสชาติออกเปรี้ยวผลไม้
Red Wine-Raspberry Sorbet ,เมนูของหวาน เมนู Red Wine-Raspberry Sorbet มีวัตถุดิบ ราสเบอร์รี,แนะนำเมนูของหวานที่มีส่วนผสมของเหล้ารสเปรี้ยวหน่อย
Apple-Frangipane Galette ,เมนูของหวาน เมนู Apple-Frangipane Galette มีวัตถุดิบ แอปเปิ้ล,มีเมนูของหวานที่มีส่วนผสมของผลไม้ที่ตระกูลแอปเปิ้ลไหม?
Ginger Cookies ,เมนูของหวาน เมนู Ginger Cookies มีวัตถุดิบ อบเชย กานพลู ขิง,มีเมนูของหวานอะไรบ้างที่เหมาะสำหรับคนที่ชอบกลิ่นเครื่องเทศ?
Pa's Fudge ,เมนูของหวาน เมนู Pa's Fudge มีวัตถุดิบ โกโก้วานิลลา,มีของหวานแบบไหนที่มีส่วนผสมของเครื่องดื่มช็อกโกแลตไหม?
Roasted Mission Figs with Honey ,เมนูของหวาน เมนู Roasted Mission Figs with Honey มีวัตถุดิบ มะเดื่อ น้ำผึ้ง อบเชย,เมนูของหวานอะไรที่มีส่วนผสมของผลไม้แห้ง
Brownies ,เมนูของหวาน เมนู Brownies มีวัตถุดิบ โกโก้ ช็อกโกแลต วานิลลา,แนะนำของหวานที่มีช็อกโกแลตเป็นส่วนผสมหลักด้วย
Frozen Lemon Mousse with Blueberries ,เมนูของหวาน เมนู Frozen Lemon Mousse with Blueberries มีวัตถุดิบ เลมอน ราสเบอร์รี่ บลูเบอร์รี่ มินต์,อยากกินขนมหวานรสเปรี้ยวที่มีเลมอนและผลเบอร์รี่
Pear-Cranberry Turnovers ,เมนูของหวาน เมนู Pear-Cranberry Turnovers มีวัตถุดิบ ลูกแพร์ แครนเบอร์รี่ เลมอน,อยากกินของหวานที่มีลูกแพร์และแครนเบอร์รี่
Hot Cocoa with Ancho Chiles and Spice ,เมนูของหวาน เมนู Hot Cocoa with Ancho Chiles and Spice มีวัตถุดิบ ช็อกโกแลต โกโก้ ลูกจันทน์เทศ ออลสไปซ์ อบเชย,อยากกินเครื่องดื่มช็อกโกแลตที่เผ็ดเล็กน้อย
Orange Coconut Stars ,เมนูของหวาน เมนู Orange Coconut Stars มีวัตถุดิบ มะพร้าว ส้ม,อยากกินขนมหวานที่มีมะพร้าวและส้ม
Raspberry Linzer Torte Bars ,เมนูของหวาน เมนู Raspberry Linzer Torte Bars มีวัตถุดิบ ราสเบอร์รี่ อัลมอนด์,อยากกินทาร์ตที่มีราสเบอร์รี่และอัลมอนด์
Frozen Chocolate-Peppermint Bùche de Noël ,เมนูของหวาน เมนู Frozen Chocolate-Peppermint Bùche de Noël มีวัตถุดิบ ช็อกโกแลต มะนาว โกโก้ วานิลลา วานิลลามิ้นต์,อยากทานของหวานที่มีช็อกโกแลตและมีกลิ่นมิ้นต์
Angel Wings ,เมนูของหวาน เมนู Angel Wings มีวัตถุดิบ โกโก้,อยากทานของหวานที่มีช็อกโกแลตและมีความกรุบกรอบ
Cardamom-Scented Pear Crisp ,เมนูของหวาน เมนู Cardamom-Scented Pear Crisp มีวัตถุดิบ พีแคน มะนาว โอ๊ต ลูกแพร์ กระวาน,อยากทานของหวานที่มีผลไม้และเครื่องเทศ
Sugar Cookie ,เมนูของหวาน เมนู Sugar Cookie มีวัตถุดิบ วานิลลา,อยากทานของหวานที่มีวานิลลาและนำไปอบ
Glittering Lemon Sandwich Cookies ,เมนูของหวาน เมนู Glittering Lemon Sandwich Cookies มีวัตถุดิบ มะนาว วานิลลา,อยากทานของหวานที่มีมะนาวเปรี้ยวๆ และมีเนื้อสัมผัสที่นุ่ม
Florentines ,เมนูของหวาน เมนู Florentines มีวัตถุดิบ อัลมอนด์ ส้ม,อยากทานของหวานที่มีถั่วและผลไม้
"Chocolate, Almond, and Raspberry Tart ","เมนูของหวาน เมนู Chocolate, Almond, and Raspberry Tart มีวัตถุดิบ ช็อกโกแลต อัลมอนด์ ราสเบอร์รี่ บรั่นดี",อยากกินของหวานรสเปรี้ยวหวานที่มีทั้งช็อกโกแลตและอัลมอนด์
Chocolate-Dipped Hazelnut Caramel Squares ,เมนูของหวาน เมนู Chocolate-Dipped Hazelnut Caramel Squares มีวัตถุดิบ น้ำผึ้ง ส้ม เฮเซลนัท ช็อกโกแลต,อยากกินขนมหวานที่มีส่วนผสมของเฮเซลนัทและรสชาติช็อกโกแลต
Double Chocolate-Peppermint Crunch Cookies ,เมนูของหวาน เมนู Double Chocolate-Peppermint Crunch Cookies มีวัตถุดิบ ช็อกโกแลต โกโก้ วานิลลา,อยากกินของหวานที่ทำจากช็อกโกแลตและมีรสชาติแบบเปปเปอร์มิ้นต์
Brandied Whipped Cream ,เมนูของหวาน เมนู Brandied Whipped Cream มีวัตถุดิบ บรั่นดี,อยากกินของหวานครีมที่ผสมแอลกอฮอล์
Toffee Squares ,เมนูของหวาน เมนู Toffee Squares มีวัตถุดิบ วานิลลา ช็อกโกแลต อัลมอนด์,อยากกินของหวานไม่หวานมากที่ทำจากช็อกโกแลตและมีเนื้อสัมผัสที่กรุบกรอบ
Kolacky ,เมนูของหวาน เมนู Kolacky มีวัตถุดิบ แอปริคอต,อยากกินขนมอบหวานที่มีส่วนผสมของผลไม้ตระกูลเบอร์รี่
Stained-Glass Ornaments ,เมนูของหวาน เมนู Stained-Glass Ornaments มีวัตถุดิบ อบเชย ขิง ลูกจันทน์เทศ,อยากกินขนมอบหวานที่มีรสชาติและกลิ่นหอมเครื่องเทศ
Dark Chocolate-Mint Rocky Road Squares ,เมนูของหวาน เมนู Dark Chocolate-Mint Rocky Road Squares มีวัตถุดิบ ช็อกโกแลต มาร์ชเมลโลว์,อยากกินของหวานที่เป็นช็อกโกแลตมีมาร์ชเมลโลว์
Teddie's Apple Cake ,เมนูของหวาน เมนู Teddie's Apple Cake มีวัตถุดิบ อบเชย เนยถั่ว วานิลลา แอปเปิล วอลนัต ลูกเกด,มีขนมอบอะไรที่อุดมไปด้วยเครื่องเทศอบเชย ถั่ว และผลไม้ชนิดใดชนิดหนึ่งหรือไม่
Bourbon Molasses Ice Cream ,เมนูของหวาน เมนู Bourbon Molasses Ice Cream มีวัตถุดิบ วานิลลา,ขอไอศกรีมที่คลายร้อนมีรสหวานและมีส่วนผสมของเครื่องเทศที่มีกลิ่นหอม
Ginger Whipped Cream ,เมนูของหวาน เมนู Ginger Whipped Cream มีวัตถุดิบ วานิลลา ขิง,มีของหวานอะไรที่ให้ความรู้สึกสดชื่น มีกลิ่นหอมของขิงและครีมอยู่ด้วยกันหรือไม่
Kataifi with Candied Pumpkin and Yogurt ,เมนูของหวาน เมนู Kataifi with Candied Pumpkin and Yogurt มีวัตถุดิบ น้ำผึ้ง เลมอน อบเชย ฟักทอง อัลมอนด์,มีของหวานอะไรที่เป็นเอกลักษณ์ มีน้ำผึ้ง ผลไม้รสหวาน และกลิ่นหอมของอบเชยหรือเปล่า
Shaker Lemon Pie ,เมนูของหวาน เมนู Shaker Lemon Pie มีวัตถุดิบ เลมอน,มีพายรสเปรี้ยวที่มีไส้ที่ทำจากผลไม้รสเปรี้ยวนำหรือไม่
Vanilla-Spiced Caramel and Pear Tart ,เมนูของหวาน เมนู Vanilla-Spiced Caramel and Pear Tart มีวัตถุดิบ อบเชย ถั่วเทศ วานิลลา ลูกแพร์,มีขนมหวานที่ผสมผสานกลิ่นของเครื่องเทศอบเชยกับผลไม้รสอ่อนๆไหมคะ
Pear Crostata with Figs and Honey ,เมนูของหวาน เมนู Pear Crostata with Figs and Honey มีวัตถุดิบ กระวาน กานพลู ลูกแพร์ มะเดื่อ น้ำผึ้ง,อยากทานของหวานที่เป็นแป้งกรอบหอมๆ ไส้รสหวานอมเปรี้ยวสักหน่อย
Apple-Cherry Tartlets ,เมนูของหวาน เมนู Apple-Cherry Tartlets มีวัตถุดิบ แอปเปิ้ล เชอร์รี่ ส้ม เลมอน ส้มอบเชย ลูกจันทน์เทศ กานพลู บรั่นดี,อยากทานขนมหวานที่เป็นแบบอบที่มีกลิ่นหอมๆ รสเปรี้ยวหวานลงตัว
Chocolate-Dipped Dates Stuffed with Spiced Nuts ,เมนูของหวาน เมนู Chocolate-Dipped Dates Stuffed with Spiced Nuts มีวัตถุดิบ อัลมอนด์ ส้ม น้ำผึ้ง อบเชย ออลสไปซ์ อินทผาลัม ช็อกโกแลต,อยากทานขนมหวานที่หวานๆ หอมๆ ไส้อร่อยๆ มีความนุ่มหนึบ
M'hanncha (Snake Cake) ,เมนูของหวาน เมนู M'hanncha (Snake Cake) มีวัตถุดิบ อัลมอนด์ อบเชย กระวาน ส้ม วานิลลา,อยากทานของหวานที่เป็นแป้งบางกรอบๆ ไส้หวานๆ หอมเครื่องเทศ
Monster Pops ,เมนูของหวาน เมนู Monster Pops มีวัตถุดิบ ช็อกโกแลต,อยากกินของหวานที่เป็นช็อกโกแลตเย็นๆ หวานๆ
Good Day Pear Crisp ,เมนูของหวาน เมนู Good Day Pear Crisp มีวัตถุดิบ ลูกแพร์ มะนาว ข้าวโอ๊ต เปคาน อบเชย,ขอเมนูของหวานที่มีลูกแพร์และรสหวานอมเปรี้ยวหน่อย
Apple Torte with Breadcrumb-Hazelnut ,เมนูของหวาน เมนู Apple Torte with Breadcrumb-Hazelnut มีวัตถุดิบ แอปเปิ้ล เฮเซลนัท มะนาว,อยากกินของหวานที่มีแอปเปิ้ลและโรยหน้าด้วยถั่วด้วย
Bourbon Ice Cream ,เมนูของหวาน เมนู Bourbon Ice Cream มีวัตถุดิบ วานิลลา,ขอไอศกรีมรสวนิลลาธรรมดา
Maple Pots de Crème with Almond Praline ,เมนูของหวาน เมนู Maple Pots de Crème with Almond Praline มีวัตถุดิบ เมเปิ้ล อัลมอนด์,มีเมนูของหวานอะไรที่มีส่วนผสมของเมเปิ้ลและอัลมอนด์มั้ย
Maple-Pecan Sundaes with Candied Bacon ,เมนูของหวาน เมนู Maple-Pecan Sundaes with Candied Bacon มีวัตถุดิบ เมเปิ้ล อบเชย มะนาว ขิง เปคาน วานิลลา,หาเมนูของหวานที่ราดด้วยเมเปิ้ล มีเปคานและเบคอนด้วย
Halloween Peanut Butter and Toffee Candy Bar ,เมนูของหวาน เมนู Halloween Peanut Butter and Toffee Candy Bar มีวัตถุดิบ ช็อกโกแลต ถั่วลิสง,อยากกินขนมที่มีช็อกโกแลต ถั่วลิสง และรสคาราเมล
Sablé Galette Cookies ,เมนูของหวาน เมนู Sablé Galette Cookies มีวัตถุดิบ วานิลลาส้ม,อยากกินของหวานที่มีวนิลลาและส้ม
Apple-Yogurt Parfaits ,เมนูของหวาน เมนู Apple-Yogurt Parfaits มีวัตถุดิบ แอปเปิลน้ำผึ้งลูกเกด,มีของหวานที่มีรสหวานอมเปรี้ยว และมีส่วนผสมของผลไม้หรือไม่
Salty Chocolate-Caramel Apples ,เมนูของหวาน เมนู Salty Chocolate-Caramel Apples มีวัตถุดิบ แอปเปิลคาราเมลช็อกโกแลต,มีเมนูขนมที่กินกับผลไม้และช็อกโกแลต
Easy Cranberry & Apple Cake ,เมนูของหวาน เมนู Easy Cranberry & Apple Cake มีวัตถุดิบ แครนเบอร์รีแอปเปิลส้มส้มอบเชยวานิลลา,ของหวานที่มีแอปเปิ้ลและแครนเบอร์รี่ผสมกันมีไหม
Pecan or Angel Slices ,เมนูของหวาน เมนู Pecan or Angel Slices มีวัตถุดิบ วานิลลาวอลนัทมะพร้าวไลม์วานิลลา,ถ้าอยากกินของหวานที่มีส่วนผสมของถั่ว แนะนำเมนูไหนได้บ้าง
Chocolate-Malt Cake ,เมนูของหวาน เมนู Chocolate-Malt Cake มีวัตถุดิบ ช็อกโกแลตช็อกโกแลตช็อกโกแลตช็อกโกแลตช็อกโกแลตโกโก้วานิลลามาร์ชเมลโลว์,อยากได้ของหวานที่มีช็อกโกแลตเยอะๆ เป็นหลัก
World Peace Cookies ,เมนูของหวาน เมนู World Peace Cookies มีวัตถุดิบ โกโก้วานิลลาช็อกโกแลต,ถ้าต้องการของหวานที่มีส่วนผสมของโกโก้ แนะนำเมนูใดบ้าง
Blueberry and Cream Cookies ,เมนูของหวาน เมนู Blueberry and Cream Cookies มีวัตถุดิบ บลูเบอร์รี,อยากกินของหวานอะไรที่มีรสหวานเปรี้ยวและมีผลไม้สีน้ำเงิน
Crack Pie ,เมนูของหวาน เมนู Crack Pie มีวัตถุดิบ ข้าวโอ๊ตวานิลลา,อยากกินของหวานอะไรที่มีรสหวานมันและเคี้ยวกรุบๆ
Cinnamon-Plum Fool ,เมนูของหวาน เมนู Cinnamon-Plum Fool มีวัตถุดิบ พลัมอบเชยวานิลลา,อยากกินของหวานอะไรที่มีรสหวานและมีผลไม้สีแดง
Italian Plum Tart (Tarte aux Quetsches) ,เมนูของหวาน เมนู Italian Plum Tart (Tarte aux Quetsches) มีวัตถุดิบ พลัมบรั่นดี พลัมอบเชยเลมอน,อยากกินของหวานอะไรที่มีรสเปรี้ยวหวานและมีผลไม้สีม่วง
Vanilla-Scented Plums and Blackberries ,เมนูของหวาน เมนู Vanilla-Scented Plums and Blackberries มีวัตถุดิบ พลัมแบล็กเบอร์รีวานิลลา,อยากกินของหวานอะไรที่มีรสหวานมันและมีผลไม้สีดำ
White Chocolate-Cherry Mousse Pie ,เมนูของหวาน เมนู White Chocolate-Cherry Mousse Pie มีวัตถุดิบ ช็อกโกแลตเชอร์รีเชอร์รีอัลมอนด์ช็อกโกแลตช็อกโกแลตเชอร์รีอัลมอนด์ช็อกโกแลต,อยากกินของหวานอะไรที่มีรสหวานและมีถั่ว
Buttermilk Ice Cream ,เมนูของหวาน เมนู Buttermilk Ice Cream มีวัตถุดิบ วานิลลา,อยากกินไอศกรีมรสชาติมันๆ หวานๆ
Huguenot Torte ,เมนูของหวาน เมนู Huguenot Torte มีวัตถุดิบ แอปเปิล วอลนัท พีแคน,อยากกินเค้กที่มีถั่ว
Tennessee Mountain Stack Cake ,เมนูของหวาน เมนู Tennessee Mountain Stack Cake มีวัตถุดิบ อบเชย แอปเปิล ลูกจันทน์เทศ,อยากกินขนมหวานที่มีรสแอปเปิลกับเครื่องเทศ
Cassata Cake ,เมนูของหวาน เมนู Cassata Cake มีวัตถุดิบ เลมอน วานิลลา ริคอตตา สตรอเบอร์รี,อยากกินเค้กที่มีรสหวานอมเปรี้ยว
Plum-Almond Tartlets ,เมนูของหวาน เมนู Plum-Almond Tartlets มีวัตถุดิบ ลูกพลับ เครื่องเทศ กระวาน วานิลลา,อยากกินของหวานที่มีรสชาติหวานจากผลไม้ที่ขึ้นต้นด้วย P และมีกลิ่นเครื่องเทศเบาๆ
Mint-Glazed Butter Thins ,เมนูของหวาน เมนู Mint-Glazed Butter Thins มีวัตถุดิบ วานิลลา,อยากกินของหวานที่ให้ความรู้สึกสดชื่นเย็นสบาย
Cajeta ,เมนูของหวาน เมนู Cajeta มีวัตถุดิบ วานิลลา,อยากกินของหวานที่มีรสหวานเข้มข้นแบบคาราเมล
Key Lime with Graham Cracker Gelato ,เมนูของหวาน เมนู Key Lime with Graham Cracker Gelato มีวัตถุดิบ มะนาว แคร็กเกอร์แกรม,อยากกินของหวานรสเปรี้ยวแบบมะนาวที่มีขนมปังกรุบๆ
Chocolate-Raspberry Panini with Mascarpone ,เมนูของหวาน เมนู Chocolate-Raspberry Panini with Mascarpone มีวัตถุดิบ ราสเบอร์รี ช็อกโกแลต มาสคาโปน,อยากกินของหวานรสช็อกโกแลตกับผลไม้เบอร์รี่ที่มีครีมชีส
Malted Milk Cookie Tart ,เมนูของหวาน เมนู Malted Milk Cookie Tart มีวัตถุดิบ ช็อกโกแลต,ช่วยเสิร์ฟขนมหวานที่มีกลิ่นและรสชาติของช็อกโกแลตเข้มข้นโดดเด่น
Baked Coconut (Cocada de Forno) ,เมนูของหวาน เมนู Baked Coconut (Cocada de Forno) มีวัตถุดิบ มะพร้าวเหล้ารัมและมะพร้าว,แสดงวิธีทำของหวานที่มีส่วนผสมหลักจากมะพร้าว
Chocolate Raspberry Layer Cake ,เมนูของหวาน เมนู Chocolate Raspberry Layer Cake มีวัตถุดิบ โกโก้ช็อกโกแลตรสราสป์เบอร์รี่และราสป์เบอร์รี่,ขอเมนูขนมเค้กที่มีส่วนผสมของโกโก้และผลไม้รสเปรี้ยว
Fried Blackberry Pies ,เมนูของหวาน เมนู Fried Blackberry Pies มีวัตถุดิบ แบล็กเบอร์รี่ ปรุงรสวนิลา อบเชย,อยากทานของหวานที่ทำจากผลไม้สีดำและมีรสสัมผัสกรอบนอกนุ่มใน
Lime Tart with Blackberries and Blueberries ,เมนูของหวาน เมนู Lime Tart with Blackberries and Blueberries มีวัตถุดิบ มะนาวแบล็กเบอร์รี่บลูเบอร์รี่แบล็กเบอร์รี่,อยากกินของหวานที่มีผลเบอร์รี่รสชาติหวานอมเปรี้ยว
Strawberry Granita with Beaujolais ,เมนูของหวาน เมนู Strawberry Granita with Beaujolais มีวัตถุดิบ สตรอว์เบอร์รี่สตรอว์เบอร์รี่,อยากกินของหวานเย็นๆ ที่มีรสชาติเปรี้ยวจากผลไม้
Volcano Surprise with Lemon Mousseline Cake ,เมนูของหวาน เมนู Volcano Surprise with Lemon Mousseline Cake มีวัตถุดิบ มะนาววานิลลาวานิลลาวานิลลามะนาว,อยากกินเค้กที่นุ่มฟูมีรสชาติเปรี้ยวหวาน
Persimmon Cake with Cream Cheese Icing ,เมนูของหวาน เมนู Persimmon Cake with Cream Cheese Icing มีวัตถุดิบ วิสกี้อบเชยลูกจันทน์เทศวานิลลาพีแคนวานิลลามะนาว,อยากกินเค้กที่หอมเครื่องเทศและมีวิสกี้
Tomato Jam ,เมนูของหวาน เมนู Tomato Jam มีวัตถุดิบ มะเขือเทศ พริกไทย มะนาว,อยากได้ของหวานที่รสชาติเปรี้ยวๆ ซ่าๆ
Gingered Pear and Raspberry Pandowdy ,เมนูของหวาน เมนู Gingered Pear and Raspberry Pandowdy มีวัตถุดิบ ลูกแพร์ มะนาว ราสเบอร์รี่ ขิง,อยากกินของหวานที่มีกลิ่นหอมๆ รสเปรี้ยวๆ หวานๆ แล้วก็ชุ่มฉ่ำหน่อย
Butter Cookies ,เมนูของหวาน เมนู Butter Cookies มีวัตถุดิบ วานิลลา วอลนัท,อยากกินของหวานที่หวานๆ กรอบๆ มีกลิ่นหอมๆ
Coconut and Lychee Sorbet ,เมนูของหวาน เมนู Coconut and Lychee Sorbet มีวัตถุดิบ มะพร้าว มะนาว,อยากกินของหวานที่เย็นๆ สดชื่นมีรสชาติของมะพร้าว
Apple Treacle Tart ,เมนูของหวาน เมนู Apple Treacle Tart มีวัตถุดิบ บรั่นดีแอปเปิ้ลมะนาว,อยากกินของหวานที่มีรสชาติเปรี้ยวอมหวานมีกลิ่นแอปเปิ้ล
Vanilla Creams with Strawberries in Cassis ,เมนูของหวาน เมนู Vanilla Creams with Strawberries in Cassis มีวัตถุดิบ วานิลลามะนาวสตรอว์เบอร์รี่,อยากกินของหวานที่มีรสหวานมันกินคู่กับผลไม้เปรี้ยว
Pastry Twists with Spiced Sugar-Honey Glaze ,เมนูของหวาน เมนู Pastry Twists with Spiced Sugar-Honey Glaze มีวัตถุดิบ น้ำผึ้ง อบเชย ลูกจันทน์เทศ,อยากกินของหวานที่กรอบนอกนุ่มในมีกลิ่นอบเชย
Dessert Pancakes with Custard and Berries ,เมนูของหวาน เมนู Dessert Pancakes with Custard and Berries มีวัตถุดิบ มะนาว อบเชย ราสเบอร์รี่,อยากกินของหวานที่นุ่มๆ มีกลิ่นเครื่องเทศหอมๆ
Strawberry and Rhubarb Crumble ,เมนูของหวาน เมนู Strawberry and Rhubarb Crumble มีวัตถุดิบ ข้าวโอ๊ต เฮเซลนัท วานิลลา สตรอว์เบอร์รี่,อยากกินของหวานที่กรอบมีกลิ่นวานิลลาและรสชาติเปรี้ยวอมหวาน
"Marshmallow Semifreddo with Hazelnuts, Dried Apricots, and Chocolate ","เมนูของหวาน เมนู Marshmallow Semifreddo with Hazelnuts, Dried Apricots, and Chocolate มีวัตถุดิบ ส้ม มาร์ชเมลโลว์ ช็อกโกแลต เฮเซลนัท เชอร์รี่",อยากกินของหวานที่นุ่มเย็นมีรสชาติเปรี้ยวหวานและช็อกโกแลต
Warm Date and Almond Puddings ,เมนูของหวาน เมนู Warm Date and Almond Puddings มีวัตถุดิบ อัลมอนด์ช็อกโกแลตส้ม,อยากกินของหวานที่มีส่วนผสมของถั่วอัลมอนด์และรสชาติที่ผสมผสานกันระหว่างเผ็ดและหวาน
Roulade au Chocolat Pour Julia ,เมนูของหวาน เมนู Roulade au Chocolat Pour Julia มีวัตถุดิบ โกโก้ วานิลลา,อยากกินเค้กช็อกโกแลตที่นุ่มนวลและมีกลิ่นหอมวานิลลา
Apple-Spice Layer Cake with Caramel Swirl Icing ,เมนูของหวาน เมนู Apple-Spice Layer Cake with Caramel Swirl Icing มีวัตถุดิบ อบเชย พริกไทยจาเมกา ลูกจันทน์เทศ ขิง แอปเปิล วานิลลา คาราเมล มาสคาโปเน พีแคน,อยากกินเค้กที่มีรสชาติซับซ้อนและมีส่วนผสมของเครื่องเทศหลายชนิด
Starry Starry Nights ,เมนูของหวาน เมนู Starry Starry Nights มีวัตถุดิบ น้ำผึ้ง ช็อกโกแลต อัลมอนด์ โกโก้,อยากกินของหวานที่มีรสชาติหวานอมขมและมีส่วนผสมของถั่วอัลมอนด์
Vanilla Crumb ,เมนูของหวาน เมนู Vanilla Crumb มีวัตถุดิบ วานิลลา,อยากกินของหวานที่มีรสวานิลลาที่เด่นชัด
Very Berry Crumble ,เมนูของหวาน เมนู Very Berry Crumble มีวัตถุดิบ อัลมอนด์ โอ๊ต อบเชย ลูกจันทน์เทศ ราสป์เบอร์รี บลูเบอร์รี,อยากกินผลไม้อบที่มีเนื้อกรอบนอกและนุ่มใน ผสมผสานกับเครื่องเทศและรสหวาน
Cream Puffs with Lemon-Cream Filling ,เมนูของหวาน เมนู Cream Puffs with Lemon-Cream Filling มีวัตถุดิบ เลมอน ช็อกโกแลต,อยากกินแป้งพัฟไส้ครีมที่มีรสชาติเปรี้ยวอมหวานและมีส่วนผสมของเลมอน
Banana Cupcakes with Peanut Butter Frosting ,เมนูของหวาน เมนู Banana Cupcakes with Peanut Butter Frosting มีวัตถุดิบ กล้วย วานิลลา ถั่วลิสง,อยากกินมัฟฟินที่มีรสชาติหวานและมีส่วนผสมของกล้วยและถั่วลิสง
Chocolate Mayonnaise Cake ,เมนูของหวาน เมนู Chocolate Mayonnaise Cake มีวัตถุดิบ ช็อกโกแลต โกโก้ วานิลลา,อยากกินของหวานที่มีช็อกโกแลตเยอะๆ
Rhubarb Galette with Crème Fraîche ,เมนูของหวาน เมนู Rhubarb Galette with Crème Fraîche มีวัตถุดิบ รูบาร์บ,อยากกินของหวานที่มีผลไม้ออกเปรี้ยวๆ
Maple Cake with Maple Syrup Frosting ,เมนูของหวาน เมนู Maple Cake with Maple Syrup Frosting มีวัตถุดิบ เมเปิล วอลนัต,อยากกินของหวานที่มีรสหวาน หอม หวานๆ
